Site,Year,Depth,Coverage,Min Temp,Max Temp,Avg Temp,Med Temp,Prev Coverage
"Clerke Reef",1998,2.0,3U,24.81613699148745,29.44219845430107,27.22036063073645,27.146641037783745,3U
"Clerke Reef",2003,2.0,4U,24.81613699148745,29.44219845430107,27.22036063073645,27.146641037783745,4U
"Hook Island",1997,2.0,1U,20.65231661062542,28.117899130434783,24.979268612535538,25.553011113101622,1U
"Hook Island",1999,2.0,2L,20.65231661062542,28.117899130434783,24.979268612535538,25.553011113101622,2L
"Hook Island",2000,2.0,2L,20.65231661062542,28.117899130434783,24.979268612535538,25.553011113101622,2L
"Hook Island",2001,2.0,2L,20.65231661062542,28.117899130434783,24.979268612535538,25.553011113101622,2L
"Hook Island",2003,2.0,1U,20.65231661062542,28.117899130434783,24.979268612535538,25.553011113101622,1U
"Hook Island",2004,2.0,2L,20.65231661062542,28.117899130434783,24.979268612535538,25.553011113101622,1U
"Hook Island",2013,2.0,1U,22.01801792114696,27.978107459677418,25.357272731151493,25.784176868279573,1U
"Hook Island",2017,2.0,2L,22.01801792114696,27.978107459677418,25.357272731151493,25.784176868279573,2L
